"","Time","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"172","""Nov 21""",22,"Karnataka Bank",22.21,21.510385,0.184343,0.139923,0.375349
"173","""Nov 21""",23,"Karur Vysya Bank",17.37,17.194563,0.111168,0.048636,0.015633
"174","""Nov 21""",24,"India Post Payment Bank",15.59,15.130095,0.10913,0.21826,0.134074
"175","""Nov 21""",25,"Idfc First Bank",15.58,15.35409,0.185402,0.021812,0.017138
"176","""Nov 21""",26,"South Indian Bank",12.63,12.497385,0.128826,0.002526,0.001263
"177","""Nov 21""",27,"Bandhan Bank",11.89,11.433424,0.089175,0.3567,0.009512
"178","""Nov 21""",28,"Citibank",9.54,9.43983,0.084906,0.005724,0.00954
"179","""Nov 21""",29,"City Union Bank",8.49,8.299824,0.130746,0.048393,0.011037
"180","""Nov 21""",30,"Au Small Finance Bank",8.27,8.206321,0.052928,0.005789,0.004962
"181","""Nov 21""",31,"Fino Payments Bank",7.36,6.923552,0.315008,0.119968,0.002208
"182","""Nov 21""",32,"Ujjivan Small Finance Bank",6.46,6.37925,0.036822,0.025194,0.018734
"183","""Nov 21""",33,"Equitas Small Finance Bank",6.32,5.920576,0.30336,0.049296,0.046768
"184","""Nov 21""",34,"Tamilnad Mercantile Bank",6.08,5.653792,0.256576,0.126464,0.043168
"185","""Nov 21""",35,"Andhra Pradesh Grameena Vikas Bank",5.73,5.542056,0.010314,0.12606,0.05157
"186","""Nov 21""",36,"Dbs Bank India Limited",5.73,5.484183,0.218886,0.01719,0.009741
"187","""Nov 21""",37,"Pragathi Krishna Gramin Bank",5.44,5.357312,0.019584,0.036448,0.0272
"188","""Nov 21""",38,"Maharashtra Gramin Bank",4.73,4.63067,0.013717,0.063855,0.022231
"189","""Nov 21""",39,"Saraswat Bank",4.55,4.465825,0.03094,0.045045,0.00819
"190","""Nov 21""",40,"Kerala Gramin Bank",4.23,4.197006,0.014382,0.008037,0.010998
"191","""Nov 21""",41,"Punjab And Sind Bank",4.13,3.585666,0.018998,0.308924,0.216412
"192","""Nov 21""",42,"Rbl Bank",4.04,3.787096,0.1919,0.049288,0.011312
"193","""Nov 21""",43,"Esaf Small Finance Bank Ltd.",3.7,3.58604,0.01443,0.09509,0.00444
"194","""Nov 21""",44,"Jammu And Kashmir Bank",3.67,3.53421,0.063491,0.066794,0.005505
"195","""Nov 21""",45,"Rajasthan Marudhara Gramin Bank",3.66,3.493104,0.011346,0.114192,0.041358
"196","""Nov 21""",46,"Andhra Pragathi Grameena Bank",3.52,3.408416,0.010912,0.054912,0.04576
"197","""Nov 21""",47,"Sarva Haryana Gramin Bank",3.41,2.68367,0.015686,0.68882,0.02046
"198","""Nov 21""",48,"Standard Chartered",3.05,2.991135,0.053375,0.00427,0.00122
"199","""Nov 21""",49,"Baroda Rajasthan Kshetriya Gramin Bank",2.96,2.775888,0.0666,0.083768,0.033744
"200","""Nov 21""",50,"Purvanchal Bank",2.91,2.748495,0.034047,0.08148,0.045687
"201","""Dec 21""",1,"Paytm Payments Bank",926.17,914.963343,4.723467,5.649637,0.833553
"202","""Dec 21""",2,"State Bank Of India",664.89,617.01792,3.124983,43.21785,1.529247
"203","""Dec 21""",3,"Yes Bank Ltd",486.44,485.46712,0.437796,0.437796,0.097288
"204","""Dec 21""",4,"Icici Bank",389.47,386.315293,2.843131,0.194735,0.116841
"205","""Dec 21""",5,"Axis Bank Ltd",366.14,364.272686,1.794086,0,0.073228
"206","""Dec 21""",6,"Hdfc Bank Ltd",247.03,243.299847,3.334905,0.222327,0.172921
"207","""Dec 21""",7,"Bank Of Baroda",160.55,159.5867,0.73853,0.06422,0.16055
"208","""Dec 21""",8,"Union Bank Of India",158.92,157.775776,0.858168,0.095352,0.190704
"209","""Dec 21""",9,"Canara Bank",124.53,123.209982,1.207941,0.049812,0.062265
"210","""Dec 21""",10,"Punjab National Bank",117.29,111.437229,0.914862,4.128608,0.809301
"211","""Dec 21""",11,"Bank Of India",98.96,97.732896,0.376048,0.623448,0.227608
"212","""Dec 21""",12,"Kotak Mahindra Bank",94.93,93.259232,1.072709,0.132902,0.465157
"213","""Dec 21""",13,"Federal Bank",92.35,91.85131,0.212405,0.22164,0.064645
"214","""Dec 21""",14,"Indian Bank",62.21,60.710739,0.261282,0.410586,0.827393
"215","""Dec 21""",15,"Central Bank Of India",53.85,53.02071,0.40926,0.091545,0.328485
"216","""Dec 21""",16,"Airtel Payments Bank",48.99,48.15717,0.533991,0.210657,0.088182
"217","""Dec 21""",17,"Indusind Bank",47.74,47.291244,0.272118,0.09548,0.081158
"218","""Dec 21""",18,"Idbi Bank Limited",39.49,38.948987,0.375155,0.098725,0.067133
"219","""Dec 21""",19,"Indian Overseas Bank",33.95,33.59692,0.220675,0.050925,0.08148
"220","""Dec 21""",20,"Bank Of Maharashtra",30.44,30.111248,0.115672,0.1522,0.06088
"221","""Dec 21""",21,"Uco Bank",28.68,27.793788,0.27246,0.478956,0.134796
"222","""Dec 21""",22,"Karnataka Bank",24.71,23.783375,0.200151,0.27181,0.454664
"223","""Dec 21""",23,"India Post Payment Bank",19.76,19.467552,0.094848,0.156104,0.041496
"224","""Dec 21""",24,"Karur Vysya Bank",19.39,19.052614,0.114401,0.172571,0.050414
"225","""Dec 21""",25,"Idfc First Bank",17.74,17.386974,0.290936,0.031932,0.030158
"226","""Dec 21""",26,"South Indian Bank",14.11,13.991476,0.101592,0.011288,0.005644
"227","""Dec 21""",27,"Bandhan Bank",12.91,12.720223,0.10328,0.082624,0.003873
"228","""Dec 21""",28,"City Union Bank",9.74,9.531564,0.140256,0.057466,0.010714
"229","""Dec 21""",29,"Au Small Finance Bank",9.09,8.887293,0.094536,0.049995,0.058176
"230","""Dec 21""",30,"Citibank",8.49,8.476416,0.012735,0.000849,0
"231","""Dec 21""",31,"Fino Payments Bank",8.47,8.007538,0.329483,0.130438,0.002541
"232","""Dec 21""",32,"Ujjivan Small Finance Bank",7.1,6.92605,0.03905,0.06958,0.06532
"233","""Dec 21""",33,"Tamilnad Mercantile Bank",7.07,6.695997,0.159782,0.150591,0.06363
"234","""Dec 21""",34,"Equitas Small Finance Bank",6.81,6.637707,0.119175,0.044265,0.008853
"235","""Dec 21""",35,"Dbs Bank India Limited",6.25,5.85625,0.37,0.015,0.00875
"236","""Dec 21""",36,"Andhra Pradesh Grameena Vikas Bank",6.24,5.861232,0.00936,0.235872,0.133536
"237","""Dec 21""",37,"Pragathi Krishna Gramin Bank",6.16,6.118112,0.020328,0.005544,0.016016
"238","""Dec 21""",38,"Maharashtra Gramin Bank",5.2,5.109,0.02132,0.04992,0.01976
"239","""Dec 21""",39,"Saraswat Bank",5.01,4.957896,0.042084,0.007515,0.002505
"240","""Dec 21""",40,"Punjab And Sind Bank",4.8,4.5744,0.03264,0.11856,0.0744
"241","""Dec 21""",41,"Kerala Gramin Bank",4.79,4.760781,0.015807,0.004311,0.009101
"242","""Dec 21""",42,"Rbl Bank",4.53,4.343817,0.160362,0.015855,0.009966
"243","""Dec 21""",43,"Esaf Small Finance Bank Ltd.",4.2,4.07526,0.0147,0.105,0.00504
"244","""Dec 21""",44,"Jammu And Kashmir Bank",4.18,4.052928,0.094468,0.028842,0.003762
"245","""Dec 21""",45,"Andhra Pragathi Grameena Bank",4.12,3.898756,0.031312,0.114124,0.075808
"246","""Dec 21""",46,"Rajasthan Marudhara Gramin Bank",4.03,3.755154,0.091481,0.112437,0.070928
"247","""Dec 21""",47,"Sarva Haryana Gramin Bank",3.39,2.895738,0.086784,0.39324,0.012204
"248","""Dec 21""",48,"Baroda Rajasthan Kshetriya Gramin Bank",3.36,3.055248,0.066528,0.182112,0.056112
"249","""Dec 21""",49,"Standard Chartered",3.3,3.19638,0.09801,0.00297,0.00264
