"","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"1358",8,"Union Bank Of India",310.09,308.694595,0.775225,0.62018,0.372108
"1360",10,"Punjab National Bank",254.47,252.917733,1.196009,0.356258,0.610728
"1361",11,"Canara Bank",252.28,249.88334,1.337084,1.059576,0.327964
"1362",12,"Kotak Mahindra Bank",219.84,218.323104,1.406976,0.10992,0.131904
"1401",1,"Paytm Payments Bank",2835.27,2832.43473,1.984689,0.850581,0
"1403",3,"State Bank Of India",1252.21,1245.94895,2.379199,3.75663,0.876547
"1404",4,"Axis Bank Ltd",967.52,966.55248,0.870768,0.096752,0.096752
"1405",5,"Icici Bank",647.97,643.822992,3.110256,1.036752,0.453579
"1406",6,"Hdfc Bank Ltd",549.41,537.32298,11.702433,0.329646,0.274705
"1407",7,"Bank Of Baroda",333.64,331.371248,0.8341,1.434652,0.433732
"1408",8,"Union Bank Of India",326.55,324.884595,0.620445,1.077615,0.84903
"1410",10,"Punjab National Bank",270.17,268.575997,1.377867,0.216136,0.297187
"1411",11,"Canara Bank",268.75,266.22375,1.800625,0.725625,0.3225
"1412",12,"Kotak Mahindra Bank",233.06,231.381968,1.072076,0.605956,0.512732
"1451",1,"Paytm Payments Bank",2851.38,2848.52862,1.995966,0.855414,0
"1453",3,"State Bank Of India",1306.23,1301.527572,2.351214,2.351214,0.522492
"1454",4,"Axis Bank Ltd",1008.43,1006.009768,1.815174,0.605058,1.00843
"1455",5,"Icici Bank",647.71,643.953282,3.497634,0.259084,0.129542
"1456",6,"Hdfc Bank Ltd",549.54,539.64828,9.671904,0.219816,0.054954
"1457",7,"Bank Of Baroda",336.93,336.25614,0.572781,0.101079,0.134772
"1458",8,"Union Bank Of India",324.67,321.4233,0.551939,2.727228,1.201279
"1460",10,"Punjab National Bank",271.75,270.364075,1.03265,0.353275,0.625025
"1461",11,"Canara Bank",268.36,264.146748,3.48868,0.751408,0.456212
"1462",12,"Kotak Mahindra Bank",236.42,233.133762,1.111174,2.175064,0.922038
